"Step","2025.12.04_09.27.31 - reward_mean","2025.12.04_09.27.31 - reward_mean__MIN","2025.12.04_09.27.31 - reward_mean__MAX","2025.12.04_07.22.35 - reward_mean","2025.12.04_07.22.35 - reward_mean__MIN","2025.12.04_07.22.35 - reward_mean__MAX","2025.12.04_02.41.16 - reward_mean","2025.12.04_02.41.16 - reward_mean__MIN","2025.12.04_02.41.16 - reward_mean__MAX","2025.12.03_22.37.47 - reward_mean","2025.12.03_22.37.47 - reward_mean__MIN","2025.12.03_22.37.47 - reward_mean__MAX","2025.12.03_12.29.51 - reward_mean","2025.12.03_12.29.51 - reward_mean__MIN","2025.12.03_12.29.51 - reward_mean__MAX"
"264","-187.29571875","-187.29571875","-187.29571875","-191.33184375000002","-191.33184375000002","-191.33184375000002","-179.64796875","-179.64796875","-179.64796875","-119.03603125","-119.03603125","-119.03603125","-141.29065625","-141.29065625","-141.29065625"
"268","-187.44984374999999","-187.44984374999999","-187.44984374999999","-191.48059375","-191.48059375","-191.48059375","-180.2263125","-180.2263125","-180.2263125","-106.33209375","-106.33209375","-106.33209375","-163.87015624999998","-163.87015624999998","-163.87015624999998"
"272","-188.52746875000003","-188.52746875000003","-188.52746875000003","-189.651","-189.651","-189.651","-178.75459375","-178.75459375","-178.75459375","-101.24109375","-101.24109375","-101.24109375","-130.02059375000002","-130.02059375000002","-130.02059375000002"
"276","-189.3486875","-189.3486875","-189.3486875","-188.6805625","-188.6805625","-188.6805625","-178.70625","-178.70625","-178.70625","-92.51775","-92.51775","-92.51775","-141.29975000000002","-141.29975000000002","-141.29975000000002"
"280","-185.84184375","-185.84184375","-185.84184375","-185.949875","-185.949875","-185.949875","-179.131375","-179.131375","-179.131375","-83.94340625000001","-83.94340625000001","-83.94340625000001","-128.2285625","-128.2285625","-128.2285625"
"284","-186.90909375","-186.90909375","-186.90909375","-188.9128125","-188.9128125","-188.9128125","-178.68318749999997","-178.68318749999997","-178.68318749999997","-52.7614375","-52.7614375","-52.7614375","-147.38809375","-147.38809375","-147.38809375"
"288","-188.33915625","-188.33915625","-188.33915625","-188.974375","-188.974375","-188.974375","-178.07559375","-178.07559375","-178.07559375","-55.417875","-55.417875","-55.417875","-100.73587500000001","-100.73587500000001","-100.73587500000001"
"292","-188.37481250000002","-188.37481250000002","-188.37481250000002","-190.22090624999998","-190.22090624999998","-190.22090624999998","-178.08146875","-178.08146875","-178.08146875","-49.6814375","-49.6814375","-49.6814375","-52.484937499999994","-52.484937499999994","-52.484937499999994"
"296","-188.7249375","-188.7249375","-188.7249375","-188.13084375","-188.13084375","-188.13084375","-177.72003125","-177.72003125","-177.72003125","-46.43359375","-46.43359375","-46.43359375","-17.49625","-17.49625","-17.49625"
"300","-187.60684375","-187.60684375","-187.60684375","-187.45825000000002","-187.45825000000002","-187.45825000000002","-177.63984375","-177.63984375","-177.63984375","-39.0253125","-39.0253125","-39.0253125","-20.61809375","-20.61809375","-20.61809375"
"304","-186.71021875000002","-186.71021875000002","-186.71021875000002","-190.36178125","-190.36178125","-190.36178125","-178.13403125000002","-178.13403125000002","-178.13403125000002","-37.79275","-37.79275","-37.79275","-19.8909375","-19.8909375","-19.8909375"
"308","-188.78090625","-188.78090625","-188.78090625","-189.70100000000002","-189.70100000000002","-189.70100000000002","-177.57475","-177.57475","-177.57475","-49.684250000000006","-49.684250000000006","-49.684250000000006","-18.1580625","-18.1580625","-18.1580625"
"312","-186.45209375","-186.45209375","-186.45209375","-187.15056249999998","-187.15056249999998","-187.15056249999998","-177.04353125","-177.04353125","-177.04353125","-36.21640625","-36.21640625","-36.21640625","-18.965031250000003","-18.965031250000003","-18.965031250000003"
"316","-187.45471875","-187.45471875","-187.45471875","-187.942875","-187.942875","-187.942875","-177.18296875","-177.18296875","-177.18296875","-30.755562499999996","-30.755562499999996","-30.755562499999996","-17.912687499999997","-17.912687499999997","-17.912687499999997"
"320","-187.03171874999998","-187.03171874999998","-187.03171874999998","-188.503625","-188.503625","-188.503625","-176.47121875","-176.47121875","-176.47121875","-33.5535","-33.5535","-33.5535","-16.059125","-16.059125","-16.059125"
"324","-185.32265625000002","-185.32265625000002","-185.32265625000002","-188.811875","-188.811875","-188.811875","-175.6375","-175.6375","-175.6375","-35.4338125","-35.4338125","-35.4338125","-19.87734375","-19.87734375","-19.87734375"
"328","-186.01971875","-186.01971875","-186.01971875","-188.39390625","-188.39390625","-188.39390625","-177.3750625","-177.3750625","-177.3750625","-34.8351875","-34.8351875","-34.8351875","-21.63015625","-21.63015625","-21.63015625"
"332","-185.40303125","-185.40303125","-185.40303125","-189.07321875","-189.07321875","-189.07321875","-176.3524375","-176.3524375","-176.3524375","-36.5173125","-36.5173125","-36.5173125","-25.985781250000002","-25.985781250000002","-25.985781250000002"
"336","-183.4339375","-183.4339375","-183.4339375","-185.71365624999999","-185.71365624999999","-185.71365624999999","-176.4723125","-176.4723125","-176.4723125","-36.8906875","-36.8906875","-36.8906875","-29.223","-29.223","-29.223"
"340","-180.69921875","-180.69921875","-180.69921875","-190.45446875","-190.45446875","-190.45446875","-176.67328125","-176.67328125","-176.67328125","-38.496125","-38.496125","-38.496125","-29.82271875","-29.82271875","-29.82271875"
"344","-176.94803124999999","-176.94803124999999","-176.94803124999999","-190.33571875","-190.33571875","-190.33571875","-175.8599375","-175.8599375","-175.8599375","-38.767906249999996","-38.767906249999996","-38.767906249999996","-27.259625","-27.259625","-27.259625"
"348","-178.99731250000002","-178.99731250000002","-178.99731250000002","-188.65540625","-188.65540625","-188.65540625","-176.1783125","-176.1783125","-176.1783125","-37.329","-37.329","-37.329","-35.1289375","-35.1289375","-35.1289375"
"352","-178.42962500000002","-178.42962500000002","-178.42962500000002","-185.14749999999998","-185.14749999999998","-185.14749999999998","-175.694875","-175.694875","-175.694875","-36.49740625","-36.49740625","-36.49740625","-40.467468749999995","-40.467468749999995","-40.467468749999995"
"356","-178.74987499999997","-178.74987499999997","-178.74987499999997","-189.163875","-189.163875","-189.163875","-175.49509375","-175.49509375","-175.49509375","-35.798125000000006","-35.798125000000006","-35.798125000000006","-30.42303125","-30.42303125","-30.42303125"
"360","-178.1718125","-178.1718125","-178.1718125","-185.0199375","-185.0199375","-185.0199375","-175.36325","-175.36325","-175.36325","-34.77384375","-34.77384375","-34.77384375","-35.41646874999999","-35.41646874999999","-35.41646874999999"
"364","-178.27525","-178.27525","-178.27525","-188.69334375","-188.69334375","-188.69334375","-174.49125","-174.49125","-174.49125","-32.10221875","-32.10221875","-32.10221875","-36.36084375","-36.36084375","-36.36084375"
"368","-178.38575000000003","-178.38575000000003","-178.38575000000003","-186.234875","-186.234875","-186.234875","-174.226875","-174.226875","-174.226875","-30.623031249999997","-30.623031249999997","-30.623031249999997","-37.943625","-37.943625","-37.943625"
"372","-179.4709375","-179.4709375","-179.4709375","-184.875","-184.875","-184.875","-174.56512499999997","-174.56512499999997","-174.56512499999997","-30.99634375","-30.99634375","-30.99634375","-38.6009375","-38.6009375","-38.6009375"
"376","-179.0213125","-179.0213125","-179.0213125","-161.936125","-161.936125","-161.936125","-175.80728125000002","-175.80728125000002","-175.80728125000002","-31.75078125","-31.75078125","-31.75078125","-38.0025","-38.0025","-38.0025"
"380","-179.2111875","-179.2111875","-179.2111875","-148.66025","-148.66025","-148.66025","-174.680125","-174.680125","-174.680125","-32.453374999999994","-32.453374999999994","-32.453374999999994","-37.86615625","-37.86615625","-37.86615625"
"384","-178.57125000000002","-178.57125000000002","-178.57125000000002","-129.88240624999997","-129.88240624999997","-129.88240624999997","-174.66359375000002","-174.66359375000002","-174.66359375000002","-33.584843750000005","-33.584843750000005","-33.584843750000005","-51.01896875","-51.01896875","-51.01896875"
"388","-178.16718749999998","-178.16718749999998","-178.16718749999998","-134.01771875","-134.01771875","-134.01771875","-174.68578125","-174.68578125","-174.68578125","-34.831125","-34.831125","-34.831125","-50.641156249999995","-50.641156249999995","-50.641156249999995"
"392","-178.89090625","-178.89090625","-178.89090625","-126.77396875","-126.77396875","-126.77396875","-174.2555","-174.2555","-174.2555","-35.445375","-35.445375","-35.445375","-40.593875","-40.593875","-40.593875"
"396","-178.61484374999998","-178.61484374999998","-178.61484374999998","-134.86865625","-134.86865625","-134.86865625","-173.55040624999998","-173.55040624999998","-173.55040624999998","-40.10190625","-40.10190625","-40.10190625","-51.778406249999996","-51.778406249999996","-51.778406249999996"
